title,author,length
Lucky Son of a Gun,John Conroe,Length: 8 hrs and 11 mins
Fake Dates and Fanged Mistakes,Alice Winters,Length: 10 hrs and 11 mins
Undead Urges,Amanda M. Lee,Length: 8 hrs and 56 mins
Canines and Cocktails,"Kevin Hearne,Delilah S. Dawson,Chuck Wendig",Length: 7 hrs and 55 mins
Mimic & Me 2,"Cassius Lange,Ryan Tang",Length: 19 hrs and 27 mins
Where's Molly,H. D. Carlton,Length: 5 hrs and 58 mins
Never Too Close,Chelle Bliss,Length: 6 hrs and 12 mins
Heartwood Mage,James Haddock,Length: 8 hrs and 17 mins
The Path of Ascension 5,C. Mantis,Length: 27 hrs and 35 mins
Hexcess Baggage,Lily Harper Hart,Length: 6 hrs and 46 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs
Mark of the Fool 5,J.M. Clarke,Length: 18 hrs and 30 mins
A Han Yang Omnibus,Han Yang,Length: 113 hrs and 51 mins
Releasing Maladek,Victoria Aveline,Length: 4 hrs and 57 mins
Valdemar,Mercedes Lackey,Length: 16 hrs and 58 mins
Revelations,D. Petrie,Length: 14 hrs and 18 mins
Law,Neven Iliev,Length: 10 hrs and 6 mins
Bridesmaid for Hire,Meghan Quinn,Length: 13 hrs and 47 mins
Magdalene Nox,Milena McKay,Length: 13 hrs and 12 mins
Wind and Truth,Brandon Sanderson,Length: 55 hrs
