"entry","entry href","field-content","field-content 2"
"174 Trust PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/174-trust-pg","Duncairn Complex, Duncairn Avenue, Belfast, Co. Antrim, BT14 6BP","Pre-School"
"Abbey Christian Brothers Grammar [Newry]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/abbey-christian-brothers-grammar-newry","77A Ashgrove Road, Newry, Co. Down, BT34 1QN","Post-Primary"
"Abbey Community College [Newtownabbey]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/abbey-community-college-newtownabbey","100 Bridge Road, Newtownabbey, Co. Antrim, BT37 0EA","Post-Primary"
"Abbey PS [Newtownards]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/abbey-ps-newtownards","90 Movilla Road, Newtownards, Co. Down, BT23 8RQ","Primary"
"Abbey PS NU [Newtownards]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/abbey-ps-nu-newtownards","90 Movilla Road, Newtownards, Co. Down, BT23 8RQ","Pre-School"
"Abbots Cross PS [Newtownabbey]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/abbots-cross-ps-newtownabbey","86 Doagh Road, Newtownabbey, Co. Antrim, BT37 9QW","Primary"
"Abercorn PS [Banbridge]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/abercorn-ps-banbridge","Newry Road, Banbridge, Co. Down, BT32 3HR","Primary"
"Academy Nursery School PS NU [Saintfield]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/academy-nursery-school-ps-nu-saintfield","194 Listooder Road, Saintfield, Ballynahinch, Co. Down, BT24 7JA","Pre-School"
"Academy PS [Saintfield]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/academy-ps-saintfield","194 Listooder Road, Saintfield, Ballynahinch, Co. Down, BT24 7JA","Primary"
"Acorn Integrated PS [Carrickfergus]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/acorn-integrated-ps-carrickfergus","110 Victoria Road, Carrickfergus, Co. Antrim, BT38 7JL","Primary"
"Acorn Integrated PS NU [Carrickfergus]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/acorn-integrated-ps-nu-carrickfergus","110 Victoria Road, Carrickfergus, Co. Antrim, BT38 7JL","Pre-School"
"Aghadowey Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/aghadowey-pre-school-pg","32 Mullaghinch Road, Aghadowey, Coleraine, Co. Londonderry, BT51 4AP","Pre-School"
"Aghadrumsee PS [Roslea]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/aghadrumsee-ps-roslea","14 Aghadrumsee Road, Roslea, Enniskillen, Co. Fermanagh, BT92 7AU","Primary"
"Aghagallon Pre-School PG [Craigavon]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/aghagallon-pre-school-pg-craigavon","3 Aghalee Road, Aghagallon, Craigavon, Co. Antrim, BT67 0AR","Pre-School"
"Ahoghill & District Community Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ahoghill-district-community-pre-school-pg","Ahoghill Community Centre, 80 Cullybackey Road, Ahoghill, Ballymena, Co Antrim, BT42 1LA","Pre-School"
"Alexander Dickson PS [Ballygowan]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/alexander-dickson-ps-ballygowan","Comber Road, Ballygowan, Newtownards, Co. Down, BT23 5TN","Primary"
"All Children's Integrated PS [Newcastle]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/all-childrens-integrated-ps-newcastle","The Walled Garden , King Street, Newcastle, Co. Down, BT33 0HD","Primary"
"All Saint's PS [Tattysallagh]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/all-saints-ps-tattysallagh","42 Tattysallagh Road, Omagh, Co. Tyrone, BT78 5BR","Primary"
"All Saints College","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/all-saints-college","Glen Road, Belfast, Co Antrim, BT11 8BW","Post-Primary"
"All Saints PS NU [Annaclone]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/all-saints-ps-nu-annaclone","c/o St Colman's PS, Annaclone, Banbridge, Co Down, BT32 5LS","Pre-School"
"Alphabet PG [Greenisland]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/alphabet-pg-greenisland","Greenisland Community Centre, Glassillan Grove, Greenisland,  BT38 8TE","Pre-School"
"Ampertaine PS [Maghera]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/ampertaine-ps-maghera","94 Kilrea Road, Upperlands, Maghera , Co. Londonderry, BT46 5SB","Primary"
"Anahilt Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/anahilt-pre-school-pg","29a West Winds Terrace, Anahilt, Hillsborough, Co Down, BT26 6BS","Pre-School"
"Anahilt PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/anahilt-ps","248 Ballynahinch Road, Hillsborough, Co. Down, BT26 6BP","Primary"
"Anahorish PS [Toomebridge]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/anahorish-ps-toomebridge","120 Deer Park Road, Toomebridge, Antrim, Co. Antrim, BT41 3SS","Primary"
"Andrews Memorial PS [Newtownards]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/andrews-memorial-ps-newtownards","4 Ballygowan Road, Comber, Newtownards, Co. Down, BT23 5PG","Primary"
"Annalong PS [Newry]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/annalong-ps-newry","31 Kilkeel Road, Annalong, Newry, Co. Down, BT34 4TH","Primary"
"Annalong PS NU [Newry]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/annalong-ps-nu-newry","31 Kilkeel Road, Annalong, Newry, Co Down, BT34 4TS","Pre-School"
"Annsborough Integrated PS [Castlewellan]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/annsborough-integrated-ps-castlewellan","51 Ballylough Road, Castlewellan, Co. Down, BT31 9NN","Primary"
"Antrim Grammar School","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/antrim-grammar-school","10 Steeple Road, Antrim, Co Antrim, BT41 1AF","Post-Primary"
"Antrim PS","https://www.eani.org.uk/parents/types-of-school/school-type/primary/antrim-ps","31 Station Road, Antrim, Co. Antrim, BT41 4AB","Primary"
"Apple Blossom PG [Eglish]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/apple-blossom-pg-eglish","St John's Primary School, 57 Eglish Road, Portadown, Craigavon, Co Armagh, BT62 1NL","Pre-School"
"Apple Blossom Pre School PG [Downpatrick]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/apple-blossom-pre-school-pg-downpatrick","(on grounds of St Joseph’s Primary School), 4 Ballynahinch Road, Crossgar, Co Down, BT30 9HS","Pre-School"
"Apple Tree Childcare PG [Garvagh]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/apple-tree-childcare-pg-garvagh","37-39 Tirkeeran Road, Garvagh, Coleraine, Co Londonderry, BT51 5AX","Pre-School"
"Aquinas Grammar School [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/aquinas-grammar-school-belfast","518 Ravenhill Road, Belfast, Co Antrim, BT6 0BY","Post-Primary"
"Ardglass Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/ardglass-pre-school-pg","21 Downpatrick Road, Ardglass, Co Down, BT30 7SF","Pre-School"
"Ardmore House School","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/ardmore-house-school-0","95a Saul Street, DOWNPATRICK, CO DOWN, BT30 6NJ","Special School"
"Ardnashee School and College","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/ardnashee-school-and-college","17 Racecourse Road, LONDONDERRY, CO LONDONDERRY, BT48 7RE","Special School"
